"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"216414_at",-2.53822790697676,84.6628279069767,-0.29499412612274,0.768716510949172,0.901627244643594,-4.60320395744911
"222128_at",-1.69752093023257,47.4315302325581,-0.294980574222711,0.768726828039888,0.901627244643594,-4.60320402831411
"220405_at",-39.168372093023,1185.78948837209,-0.294962159153545,0.768740847538563,0.901627244643594,-4.60320412460418
"212398_at",-24.686911627907,622.589451162791,-0.294911202816651,0.768779641293722,0.901627244643594,-4.60320439101723
"216220_s_at",-26.7612790697676,968.982476744186,-0.294899360372126,0.76878865719285,0.901627244643594,-4.60320445292607
"216685_s_at",2.38038372093022,46.40995,0.29475809171882,0.768896210408244,0.901705923715957,-4.60320519124627
"205273_s_at",-9.2339372093023,200.647824418605,-0.294540921116185,0.76906155950086,0.901852369769374,-4.60320632556988
"201225_s_at",28.0067441860467,1084.5973255814,0.294483955680591,0.769104933545941,0.901855771941494,-4.60320662297339
"216591_s_at",-26.5925162790697,789.78953255814,-0.294428564121918,0.769147109930821,0.901857769447931,-4.60320691210511
"204713_s_at",36.2448604651158,1025.34373255814,0.294277906208755,0.769261827788123,0.901944820236924,-4.60320769823216
"204317_at",11.2969418604651,387.212784883721,0.29403660177106,0.769445578783753,0.902112797644868,-4.60320895651427
"220440_at",40.9931860465117,1296.53694186047,0.293914964921929,0.769538209064173,0.902173931318828,-4.60320959039994
"214314_s_at",12.3451162790698,352.867588372093,0.293837000239949,0.769597583378207,0.902196072728146,-4.60320999655963
"219179_at",-28.6598604651165,1252.58851162791,-0.293696155855862,0.769704847464677,0.902235496863014,-4.60321073002124
"201365_at",-21.6463953488372,773.211151162791,-0.293686511002673,0.769712192943764,0.902235496863014,-4.603210780235
"201813_s_at",-8.6988744186047,279.320134883721,-0.293532884531005,0.769829197044684,0.902325180040329,-4.60321157983511
"206288_at",-2.2330488372093,64.6639081395349,-0.293382938462152,0.769943403241431,0.902367173409562,-4.6032123598775
"214419_s_at",-15.5688372093025,649.280511627907,-0.293379508523215,0.769946015708657,0.902367173409562,-4.60321237771592
