"","gene_symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"4006416","FUNDC1",0.204000000000001,8.8844,1.93986179577571,0.0579350144342828,0.112728279503887,-5.1534809208097
"3708858","CD68",0.373200000000001,10.5302,1.93983532272549,0.0579383163574899,0.112728279503887,-5.1535292476182
"3060917","MTERF1",0.154799999999999,6.1182,1.93980881317495,0.0579416229946475,0.112728279503887,-5.15357764048913
"2511712","UPP2",-0.0987999999999989,5.0582,-1.93976179600517,0.0579474880223703,0.112728279503887,-5.15366346837526
"2953798","USP49",0.1188,6.5122,1.93975875893249,0.057947866891126,0.112728279503887,-5.15366901236339
"3316311","CRACR2B",0.128000000000002,8.4272,1.93969382075302,0.0579559683065686,0.11273254322587,-5.15378755120013
"3076340","BRAF",-0.1464,9.424,-1.9386274886862,0.0580891380998107,0.112980056932299,-5.15573355601494
"3127523","BIN3",-0.121999999999998,7.5454,-1.93846480979063,0.0581094773897419,0.11300809365753,-5.1560303561372
"2988459","RBAK",0.175600000000002,6.8798,1.93823419672583,0.0581383207392908,0.113052661205169,-5.1564510622381
"2949299","LY6G6C",0.232800000000001,6.62,1.93700640624539,0.0582920898030077,0.113328567578697,-5.15869018736577
"3361381","CYB5R2",-0.366800000000001,7.9814,-1.93630411727353,0.0583802010972256,0.113488302876865,-5.15997040413546
"3675333","CCDC78",0.102000000000001,7.1278,1.9359245034206,0.0584278760032081,0.113569407238353,-5.16066224331725
"3265047","ADRB1",-0.178400000000002,9.174,-1.9357858709112,0.0584452948662997,0.113591690766127,-5.16091486934113
"3838254","PPFIA3",0.121600000000001,6.8364,1.93566543289571,0.0584604312367741,0.113609534053861,-5.16113432740574
"3317253","TSPAN32",0.0843999999999996,7.4718,1.93524722860352,0.0585130162141855,0.113691075166021,-5.16189627368755
"3028934","PIP",-1.2768,8.6084,-1.93523694393408,0.0585143099171733,0.113691075166021,-5.16191501002784
"3728509","DYNLL2",0.173599999999999,9.3372,1.93472342384022,0.0585789364370519,0.113805050562501,-5.16285041829211
"3164086","ADAMTSL1",-0.150799999999999,6.6802,-1.93459869211674,0.0585946431374321,0.113823972758621,-5.16307759245417
"2931172","IYD",0.235600000000002,6.0042,1.93432881687966,0.0586286391938153,0.113868432907342,-5.16356907360261
"2901503","TRIM39-RPP21",-0.097999999999999,6.8174,-1.93390517742791,0.0586820388689835,0.113958930414815,-5.16434046200462
"3439256","RPS11",0.142399999999999,6.528,1.93373376469675,0.0587036572254873,0.113989308350305,-5.16465253930443
"3429857","C12orf75",0.4132,7.823,1.93360772681545,0.0587195573068106,0.114005864619218,-5.1648819910683
"3734379","CD300A",0.194799999999997,6.5338,1.9335714344398,0.0587241363885737,0.114005864619218,-5.16494805888975
"2697839","RBP2",-0.131600000000001,6.145,-1.93352007609381,0.0587306168956697,0.114006843177144,-5.16504155146672
"3709244","CHD3",0.192,8.3336,1.93322913259368,0.0587673403183134,0.114066522579583,-5.16557114370777
"3414695","ATF1",0.218800000000003,7.7846,1.9327411716545,0.0588289757131343,0.114174538681834,-5.16645920424663
"3012633","GATAD1",-0.112400000000001,8.7094,-1.93260703003674,0.058845929109167,0.114193531325668,-5.16670330031627
"3662924","KATNB1",0.101600000000001,7.8732,1.93256901600899,0.0588507342452632,0.114193531325668,-5.16677247137998
"3263790","SMC3",0.1844,7.8598,1.93250230415735,0.0588591677200966,0.114198279437405,-5.1668938587255
